movie_id,title,genres,overview,release_date,popularity,vote_average,genres_list,,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,predicted_score
617126,The Fantastic 4: First Steps,"Science Fiction,Adventure","Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",2025-07-22,742.1079,7.171,"['Science Fiction', 'Adventure']",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8.052887
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,"Animation,Action,Fantasy,Thriller","The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,511.9346,7.782,"['Animation', 'Action', 'Fantasy', 'Thriller']",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,8.261797
755898,War of the Worlds,"Science Fiction,Thriller","Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,438.9557,4.404,"['Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4.5296283
1267319,Mantis,"Action,Crime,Thriller","Mantis, an ace assassin, returns to the contract killer industry after a hiatus, encountering his trainee friend Jae-yi and a retired legendary killer Dok-go, who now runs the organization.",2025-09-26,357.2003,5.8,"['Action', 'Crime', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.009231
1328803,Prisoner of War,"Action,War,Thriller,History",British RAF Wing Commander James Wright is captured by the Japanese during WWII and forced to fight in brutal hand-to-hand combat. The Japanese soldiers get more than they bargained for when Wright’s years of martial arts training in Hong Kong prove him to be a formidable opponent.,2025-09-19,308.4927,7.426,"['Action', 'War', 'Thriller', 'History']",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,7.767786
1009640,Valiant One,"Action,War","With tensions between North and South Korea, a US helicopter crashes on the North side. The survivors must work together to protect a civilian tech specialist and find their way out without the help of US military support.",2025-01-30,302.9889,6.25,"['Action', 'War']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6.0096073
1038392,The Conjuring: Last Rites,Horror,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,2025-09-03,257.0289,6.563,['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.5062265
987400,Aztec Batman: Clash of Empires,"Animation,Action,Adventure,Fantasy","In the time of the Aztec empire, tragedy strikes Yohualli Coatl when his father is murdered by Spanish conquistadors. To warn King Moctezuma and his high priest, Yoka, of imminent danger, Yohualli escapes to Tenochtitlán. There, he trains in the temple of the bat god Tzinacan with his mentor, developing equipment and weaponry to confront the Spanish invasion and avenge his father’s death. Along the way, he encounters key figures like the fierce Jaguar Woman and the conquistador Hernán Cortés.",2025-09-18,232.4022,7.974,"['Animation', 'Action', 'Adventure', 'Fantasy']",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.235865
1450529,Gunman,"Thriller,Action","A former hitman accepts a minor job for his former boss. However, in a corrupt neighborhood, nothing is what it seems, and he quickly gets caught in a web of unexpected events. A race against time and his own destiny.",2025-06-12,211.6773,5.8,"['Thriller', 'Action']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.0530357
1078605,Weapons,"Horror,Mystery","When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",2025-08-04,203.375,7.396,"['Horror', 'Mystery']",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.585355
1061474,Superman,"Science Fiction,Adventure,Action","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",2025-07-09,189.9042,7.5,"['Science Fiction', 'Adventure', 'Action']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7.891123
1007734,Nobody 2,"Action,Thriller","Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",2025-08-13,186.4542,7.153,"['Action', 'Thriller']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.955787
1054867,One Battle After Another,"Action,Crime,Thriller","Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",2025-09-23,167.6029,7.545,"['Action', 'Crime', 'Thriller']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.5144334
1447287,Donde tú quieras,Action,"Ramiro Guerrero, a successful professional, is wrongly accused of a devastating crime. With his life in shambles, he fights to prove his innocence while facing a web of corruption and danger.",2025-03-20,156.7628,6.0,['Action'],0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2365923
803796,KPop Demon Hunters,"Family,Fantasy,Music,Comedy,Adventure,Animation","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",2025-06-20,155.3749,8.293,"['Family', 'Fantasy', 'Music', 'Comedy', 'Adventure', 'Animation']",0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7.8968577
13494,Red Sonja,"Adventure,Action,Fantasy",A young girl rises from the ashes of tragedy to become the most feared warrior woman of all time: the She-Devil with a Sword.,2025-07-31,149.278,5.721,"['Adventure', 'Action', 'Fantasy']",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.174113
575265,Mission: Impossible - The Final Reckoning,"Action,Adventure,Thriller","Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",2025-05-17,147.1033,7.3,"['Action', 'Adventure', 'Thriller']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.5553293
1035259,The Naked Gun,"Comedy,Action,Crime",Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,2025-07-30,140.0049,6.654,"['Comedy', 'Action', 'Crime']",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7156744
1087192,How to Train Your Dragon,"Fantasy,Family,Action,Adventure","On the rugged isle of Berk, where Vikings and dragons have been bitter enemies for generations, Hiccup stands apart, defying centuries of tradition when he befriends Toothless, a feared Night Fury dragon. Their unlikely bond reveals the true nature of dragons, challenging the very foundations of Viking society.",2025-06-06,135.3335,8.027,"['Fantasy', 'Family', 'Action', 'Adventure']",0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.112457
911430,F1,"Action,Drama",Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,2025-06-25,135.251,7.831,"['Action', 'Drama']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7.8686094
1234821,Jurassic World Rebirth,"Science Fiction,Adventure,Action","Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",2025-07-01,127.7733,6.407,"['Science Fiction', 'Adventure', 'Action']",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.5239735
914215,Humane,"Horror,Science Fiction,Thriller","In the wake of an environmental collapse that has forced humanity to shed 20% of its population, a family dinner erupts into chaos when a father's plan to enlist in the government's new euthanasia program goes horribly awry.",2024-04-26,121.1591,5.388,"['Horror', 'Science Fiction', 'Thriller']",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,5.312046
938086,Dangerous Younger Cousin,"Drama,Family","Hyang-gi hates her mother who only likes men and doesn't take care of herself. She brings a man to her house to sleep over so her mom will find her crooked. To correct Hyang-gi, she asked Do-hwan, Hyang-gi’s cousin, to live with her at home for a while. Hyang-gi and Do-hwan, who were reunited as adults, grew very attracted to each other. Chae-kyeong, Do-hwan's girlfriend, finds out about it. After revealing the truth in front of everyone, Hyang-gi and Do-hwan are on the verge of breaking up.",2021-11-23,112.5069,8.7,"['Drama', 'Family']",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9.015995
1242011,Together,Horror,"With a move to the countryside already testing the limits of a couple's relationship, a supernatural encounter begins an extreme transformation of their love, their lives, and their flesh.",2025-07-28,111.4638,7.21,['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7.314397
1028248,As Good as Dead,"Action,Crime",An ex-cop in self-imposed witness protection in Mexico becomes a target when a fight video of his apprentice goes viral.,2022-12-16,108.6022,6.444,"['Action', 'Crime']",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3970428
7451,xXx,"Action,Adventure,Thriller,Crime","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",2002-08-09,104.6827,5.964,"['Action', 'Adventure', 'Thriller', 'Crime']",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.242357
1218925,Chainsaw Man - The Movie: Reze Arc,"Animation,Action,Fantasy","In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",2025-09-19,102.5031,9.167,"['Animation', 'Action', 'Fantasy']",0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.761979
1119878,Ice Road: Vengeance,"Action,Thriller,Drama","Big rig ice road driver Mike McCann travels to Nepal to scatter his late brother’s ashes on Mt. Everest. While on a packed tour bus traversing the deadly 12,000 ft. terrain of the infamous Road to the Sky, McCann and his mountain guide encounter a group of mercenaries and must fight to save themselves, the busload of innocent travelers, and the local villagers’ homeland.",2025-06-27,94.5466,6.364,"['Action', 'Thriller', 'Drama']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6.324759
1175942,The Bad Guys 2,"Animation,Family,Comedy,Crime,Adventure","The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",2025-07-24,94.1102,7.794,"['Animation', 'Family', 'Comedy', 'Crime', 'Adventure']",0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.422524
1188808,Tuhog,"Drama,Romance","Abie mourns after the death of Michael. She finds solace from her supposedly soon-to-be father-in-law, Roldan, and starts falling for him. But when Michael returns, their world turns upside down.",2023-11-03,93.4963,5.9,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5.9235244
1265344,Swiped,"History,Drama",Whitney Wolfe uses extraordinary grit and ingenuity to break into the male-dominated tech industry.,2025-09-09,89.7527,6.986,"['History', 'Drama']",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6.9838977
1319965,All of You,"Romance,Drama","Laura and Simon have been best friends since college. Over the years, they've realized their bond is more than platonic. Can they—and should they—risk everything to explore a love that has existed all along?",2025-09-26,88.3848,6.523,"['Romance', 'Drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,6.684459
980477,Ne Zha 2,"Animation,Fantasy,Adventure,Action","After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",2025-01-29,87.1468,8.053,"['Animation', 'Fantasy', 'Adventure', 'Action']",0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.979143
1289888,French Lover,"Romance,Comedy","When a jaded actor meets a down-on-her-luck waitress in Paris, their unexpected love story begins — but will it survive the glare of the spotlight?",2025-09-25,84.9141,5.314,"['Romance', 'Comedy']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5.3855524
691363,The Thing Behind The Door,Horror,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",2023-01-16,84.715,5.5,['Horror'],0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.3965707
